ProductKey;ProductSubcategoryKey;ProductSKU;ProductName;ModelName;ProductColor;ProductCost;ProductPrice
214;31;HL-U509-R;Smart Water Bottle Red;HydrateSync Ultra;Red;40;70
215;31;HL-U509;Smart Water Bottle Black;HydrateSync Ultra;Black;40;70
218;23;SO-B909-M;Slim Qi Charging Pad 3;QiSlim Elite;White;30;50
219;23;SO-B909-L;Slim Qi Charging Pad 4;QiSlim Elite;White;35;60
220;31;HL-U509-B;Smart Water Bottle Blue;HydrateSync Ultra;Blue;40;70
223;19;CA-1098;Outdoor Entertainment Projector;ProjectorXtreme Pro;Multi;200;350
226;21;LJ-0192-S;Smart Home Mirror 10;ReflectTech Pro;Multi;150;250
229;21;LJ-0192-M;Smart Home Mirror 20;ReflectTech Pro;Multi;160;260
232;21;LJ-0192-L;Smart Home Mirror 30;ReflectTech Pro;Multi;170;270
235;21;LJ-0192-X;Smart Home Mirror 40;ReflectTech Pro;Multi;180;280
238;14;FR-R92R-62;Solar Power Bank Charger 44;SolarCharge Pro;Red;90;160
241;14;FR-R92R-44;Solar Power Bank Charger 45;SolarCharge Pro;Red;95;170
244;14;FR-R92R-48;Solar Power Bank Charger 46;SolarCharge Pro;Red;100;180
247;14;FR-R92R-52;Solar Power Bank Charger 47;SolarCharge Pro;Red;105;190
250;14;FR-R92R-56;Solar Power Bank Charger 48;SolarCharge Pro;Red;110;200
253;14;FR-R38B-58;Solar Power Bank Charger 49;SolarCharge Pro;Black;115;210
256;14;FR-R38B-60;Portable Solar Charger 300;SolarBoost Elite;Black;120;220
259;14;FR-R38B-62;Portable Solar Charger 310;SolarBoost Elite;Black;125;230
262;14;FR-R38R-44;Portable Solar Charger 320;SolarBoost Elite;Red;130;240
264;14;FR-R38R-48;Portable Solar Charger 330;SolarBoost Elite;Red;135;250
266;14;FR-R38R-52;Portable Solar Charger 340;SolarBoost Elite;Red;140;260
268;14;FR-R38R-58;Ultra-Thin Solar Power Bank 400;SolarSlim Plus;Red;100;180
270;14;FR-R38R-60;Ultra-Thin Solar Power Bank 410;SolarSlim Plus;Red;105;190
272;14;FR-R38R-62;Ultra-Thin Solar Power Bank 420;SolarSlim Plus;Red;110;190
274;14;FR-R72R-44;Ultra-Thin Solar Power Bank 430;SolarSlim Plus;Red;115;200
275;14;FR-R72R-48;High-Capacity Solar Charger 500;SunCharge Max;Red;160;270
276;14;FR-R72R-52;High-Capacity Solar Charger 510;SunCharge Max;Red;165;280
277;14;FR-R72R-58;High-Capacity Solar Charger 520;SunCharge Max;Red;170;290
278;14;FR-R72R-60;High-Capacity Solar Charger 530;SunCharge Max;Red;175;300
279;14;FR-R38B-44;High-Capacity Solar Charger 540;SunCharge Max;Black;180;310
282;14;FR-R38B-48;Compact Solar Power Bank 720;SunPort Mini;Black;100;170
285;14;FR-R38B-52;Compact Solar Power Bank 730;SunPort Mini;Black;105;180
288;12;FR-M94S-42;Rugged Bluetooth Sound System 21;AdventureSync Elite;Silver;180;300
291;12;FR-M94S-44;Rugged Bluetooth Sound System 22;AdventureSync Elite;Silver;185;310
292;12;FR-M94S-52;Rugged Bluetooth Sound System 23;AdventureSync Elite;Silver;190;320
293;12;FR-M94S-46;Rugged Bluetooth Sound System 24;AdventureSync Elite;Silver;195;330
296;12;FR-M94B-42;Rugged Bluetooth Sound System 25;AdventureSync Elite;Black;200;340
299;12;FR-M94B-44;Rugged Bluetooth Sound System 26;AdventureSync Elite;Black;205;350
300;12;FR-M94B-48;Weatherproof Outdoor Speaker 11;OutdoorBeats Pro;Black;120;220
301;12;FR-M94B-46;Weatherproof Outdoor Speaker 12;OutdoorBeats Pro;Black;125;230
304;12;FR-M94B-38;Weatherproof Outdoor Speaker 13;OutdoorBeats Pro;Black;130;240
307;12;FR-M94S-38;Weatherproof Outdoor Speaker 14;OutdoorBeats Pro;Silver;135;250
310;2;BK-R93R-62;Smart LED Bulb 1;BrightConnect;Red;180;195
311;2;BK-R93R-44;Smart LED Bulb 2;BrightConnect;Red;182;198
312;2;BK-R93R-48;Smart LED Bulb 3;BrightConnect;Red;184;201
313;2;BK-R93R-52;Smart LED Bulb 4;BrightConnect;Red;186;204
314;2;BK-R93R-56;Smart LED Bulb 5;BrightConnect;Red;188;207
315;2;BK-R68R-58;Smart LED Bulb 6;BrightConnect;Red;190;210
316;2;BK-R68R-60;Ceiling Smart Light 6;SkyGlow;Red;200;225
317;2;BK-R68R-44;Ceiling Smart Light 7;SkyGlow;Red;202;228
318;2;BK-R68R-48;Ceiling Smart Light 8;SkyGlow;Red;204;231
319;2;BK-R68R-52;Dimmable Smart Light 3;DimTech;Red;195;217,5
320;2;BK-R50R-58;Dimmable Smart Light 4;DimTech;Red;197;220,5
322;2;BK-R50R-60;Dimmable Smart Light 5;DimTech;Red;199;223,5
324;2;BK-R50R-62;Dimmable Smart Light 6;DimTech;Red;201;226,5
326;2;BK-R50R-44;Dimmable Smart Light 7;DimTech;Red;203;229,5
328;2;BK-R50R-48;Outdoor Smart Floodlight 1;SunGuard;Red;215;247,5
330;2;BK-R50R-52;Outdoor Smart Floodlight 2;SunGuard;Red;218;252
332;2;BK-R50B-58;Outdoor Smart Floodlight 3 ;SunGuard;Black;221;256,5
334;2;BK-R50B-60;Outdoor Smart Floodlight 4;SunGuard;Black;224;261
336;2;BK-R50B-62;Outdoor Smart Floodlight 5;SunGuard;Black;227;265,5
338;2;BK-R50B-44;Color-Changing Smart Bulb 2;ColorFlow;Black;190;210
340;2;BK-R50B-48;Color-Changing Smart Bulb 3;ColorFlow;Black;192;213
342;2;BK-R50B-52;Color-Changing Smart Bulb 4;ColorFlow;Black;194;216
344;1;BK-M82S-38;Smart Speaker 38;AudioMaster;Silver;195;217,5
345;1;BK-M82S-42;Smart Speaker 42;AudioMaster;Silver;200;225
346;1;BK-M82S-44;Smart Speaker 44;AudioMaster;Silver;205;232,5
347;1;BK-M82S-48;Smart Speaker 48;AudioMaster;Silver;210;240
348;1;BK-M82B-38;Smart Speaker 38;AudioMaster;Black;225;262,5
349;1;BK-M82B-42;Smart Speaker 42;AudioMaster;Black;230;270
350;1;BK-M82B-44;Smart Speaker 44;AudioMaster;Black;235;277,5
351;1;BK-M82B-48;Smart Speaker 48;AudioMaster;Black;215;247,5
352;1;BK-M68S-38;Smart Speaker 38;AudioMaster;Silver;220;255
354;1;BK-M68S-42;Smart Speaker with Display 13 ;VisualVoice200;Silver;225;262,5
356;1;BK-M68S-46;Smart Speaker with Display 14 ;VisualVoice200;Silver;230;270
358;1;BK-M68B-38;Smart Speaker with Display 15;VisualVoice200;Black;210;240
360;1;BK-M68B-42;Smart Home Assistant Speaker 1;HomeMate;Black;215;247,5
362;1;BK-M68B-46;Smart Home Assistant Speaker 2;HomeMate;Black;220;255
364;1;BK-M47B-38;Smart Home Assistant Speaker 3;HomeMate;Black;225;262,5
365;1;BK-M47B-40;Smart Home Assistant Speaker 4;HomeMate;Black;230;270
366;1;BK-M47B-44;Voice-Controlled Speaker 1;EchoTech;Black;235;277,5
367;1;BK-M47B-48;Voice-Controlled Speaker 2 ;EchoTech;Black;240;285
368;2;BK-R89R-44;Color-Changing Smart Bulb 5;ColorFlow;Red;196;219
369;2;BK-R89R-48;Motion Sensor Light 1;MotionGlow;Red;205;232,5
370;2;BK-R89R-52;Motion Sensor Light 2;MotionGlow;Red;207;235,5
371;2;BK-R89R-58;Motion Sensor Light 3;MotionGlow;Red;209;238,5
373;2;BK-R89B-44;Motion Sensor Light 4;MotionGlow;Black;211;241,5
375;2;BK-R89B-48;Motion Sensor Light 5;MotionGlow;Black;213;244,5
377;2;BK-R89B-52;Motion Sensor Light 6;MotionGlow;Black;215;247,5
379;2;BK-R89B-58;Motion Sensor Light 7;MotionGlow;Black;217;250,5
381;2;BK-R64Y-38;Motion Sensor Light 8;MotionGlow;Yellow;219;253,5
383;2;BK-R64Y-40;Smart Candle Lights 65;FlameSim;Yellow;175;187,5
385;2;BK-R64Y-42;Smart Candle Lights 66;FlameSim;Yellow;177;190,5
387;2;BK-R64Y-44;Smart Candle Lights 67;FlameSim;Yellow;179;193,5
389;2;BK-R64Y-48;Smart Candle Lights 68;FlameSim;Yellow;181;196,5
391;10;FK-1639;Adventure Action Camera 1;XtremeCapture Pro;NA;170;250
392;10;FK-5136;Extreme Sports Camcorder;SportsLens Elite;NA;210;300
393;10;FK-9939;Outdoor Adventure Cam 3000;ActionExplorer X;NA;230;350
394;11;HS-0296;Compact Aerial Drone 500;AeroDrift Mini;NA;270;400
395;11;HS-2451;Compact Aerial Drone 520;AeroDrift Mini;NA;290;430
396;11;HS-3479;Compact Aerial Drone 540;AeroDrift Mini;NA;310;460
397;4;HB-M243;Over-Ear Noise-Canceling Headphones 1;SoundGuard Pro;NA;200;350
399;4;HB-M763;Wireless On-Ear Headphones 1;SonicFreedom;NA;150;290
401;4;HB-M918;Wireless On-Ear Headphones 2;SonicFreedom;NA;155;300
403;4;HB-R504;In-Ear Noise-Canceling Earbuds 3;QuietBeats;NA;130;270
405;4;HB-R720;In-Ear Noise-Canceling Earbuds 4;QuietBeats;NA;135;280
407;4;HB-R956;Bluetooth Overhead Headset 4;EchoSilence 5000;NA;160;310
409;12;FR-M63B-38;Weatherproof Outdoor Speaker 15;OutdoorBeats Pro;Black;190;310
410;17;FW-M423;Shockproof Action Camera 600;ToughCapture 5000;Black;210;320
411;17;FW-M762;Shockproof Action Camera 610;ToughCapture 5000;Black;215;330
412;17;FW-M928;Shockproof Action Camera 620;ToughCapture 5000;Black;220;340
413;17;FW-R623;Durable Outdoor Smartwatch 500;WeatherMaster Elite;Black;190;290
414;17;FW-R762;Durable Outdoor Smartwatch 510;WeatherMaster Elite;Black;195;300
415;17;FW-R820;Durable Outdoor Smartwatch 520;WeatherMaster Elite;Black;200;310
416;17;FW-T905;All-Terrain GPS Device 400;ExploreGuard Pro;Black;180;270
417;14;FR-R72Y-38;Compact Solar Power Bank 740;SunPort Mini;Yellow;160;240
419;17;RW-M423;All-Terrain GPS Device 410;ExploreGuard Pro;Black;185;280
420;17;RW-M762;All-Terrain GPS Device 420;ExploreGuard Pro;Black;190;290
421;17;RW-M928;All-Terrain GPS Device 430;ExploreGuard Pro;Black;195;300
422;17;RW-R623;All-Terrain GPS Device 440;ExploreGuard Pro;Black;200;310
423;17;RW-R762;All-Terrain GPS Device 450;ExploreGuard Pro;Black;205;320
424;17;RW-R820;All-Terrain GPS Device 460;ExploreGuard Pro;Black;210;330
425;17;RW-T905;All-Terrain GPS Device 470;ExploreGuard Pro;Black;215;340
426;12;FR-M63B-40;Weatherproof Outdoor Speaker 16;OutdoorBeats Pro;Black;195;320
427;12;FR-M63B-44;Adventure-Ready Portable Speaker 4;ExplorerSound Pro;Black;150;230
428;12;FR-M63B-48;Adventure-Ready Portable Speaker 5;ExplorerSound Pro;Black;155;240
429;14;FR-R72Y-40;Compact Solar Power Bank 750;SunPort Mini;Yellow;165;250
431;14;FR-R72Y-42;Compact Solar Power Bank 760;SunPort Mini;Yellow;170;260
433;14;FR-R72Y-44;Compact Solar Power Bank 770;SunPort Mini;Yellow;175;270
435;14;FR-R72Y-48;Outdoor Solar Panel Charger 6000;SolarHike Explorer;Yellow;270;430
437;14;FR-R92B-62;Outdoor Solar Panel Charger 6050;SolarHike Explorer;Black;275;440
439;14;FR-R92B-44;Outdoor Solar Panel Charger 6100;SolarHike Explorer;Black;280;450
441;14;FR-R92B-48;Outdoor Solar Panel Charger 6150;SolarHike Explorer;Black;285;460
443;14;FR-R92B-52;Outdoor Solar Panel Charger 6200;SolarHike Explorer;Black;290;470
445;22;SH-M897-S;Smart Home Thermostat 20;TempControl Elite;Black;130;190
446;35;PA-T100;Wireless Hearing Protection;SafeSound;Grey;110;150
447;34;LO-C100;Digital Entry System;EntryTech Navigator;NA;170;250
448;36;PU-0452;AI Personal Assistant;AIOne Pro;NA;250;370
449;36;PU-M044;Voice-Activated Assistant;HomeMate;NA;130;190
450;33;LT-T990;Digital Home Monitor;HomeGuard Ultra;NA;150;230
451;33;LT-H902;Digital Home Monitor 100;HomeGuard Ultra;NA;160;240
452;33;LT-H903;Smart Surveillance Camera;SecureView;NA;200;300
453;22;SH-M897-M;Smart Home Thermostat 30;TempControl Elite;Black;135;200
454;22;SH-M897-L;Wi-Fi Enabled Thermostat;EcoSync Pro;Black;140;210
455;22;SH-M897-X;Intelligent Climate Control;ClimateMaster Ultra;Black;150;230
456;24;TG-W091-S;Smart Yoga Mat 7;YogaSync TechMat;Black;110;150
457;24;TG-W091-M;High-Tech Exercise Mat 8;FlexMat Pro;Black;120;170
458;24;TG-W091-L;Tech-Enhanced Fitness Mat 10;FitTech Navigator;Black;130;190
459;18;SB-M891-S;Multi-Function Camping Tool;CampMaster Pro;Multi;100;140
460;18;SB-M891-M;Solar-Powered Lantern 2;SunLantern Max;Multi;90;120
461;18;SB-M891-L;Portable Camping Stove 3;HeatSync Elite;Multi;110;150
462;20;GL-H102-S;Ultimate Adventure Watch 1;TrekMaster Pro;Black;180;300
464;20;GL-H102-M;Ultimate Adventure Watch 2;TrekMaster Pro;Black;185;310
466;20;GL-H102-L;Ultimate Adventure Watch 3;TrekMaster Pro;Black;190;320
468;20;GL-F110-S;Tactical Survival Watch 5;ReconMaster Ultra;Black;160;270
469;20;GL-F110-M;Tactical Survival Watch 6;ReconMaster Ultra;Black;165;280
470;20;GL-F110-L;Tactical Survival Watch 7;ReconMaster Ultra;Black;170;290
471;25;VE-C304-S;Augmented Reality Glasses 200;ARVision Pro;Blue;180;300
472;25;VE-C304-M;Augmented Reality Glasses 250;ARVision Pro;Blue;190;310
473;25;VE-C304-L;Augmented Reality Glasses 270;ARVision Pro;Blue;200;320
474;22;SH-W890-S;Home Energy Manager;EnergyHub Navigator;Black;120;200
475;22;SH-W890-M;Connected HVAC Controller 60;HVACSync 5000;Black;130;220
476;22;SH-W890-L;Connected HVAC Controller 70;HVACSync 5000;Black;135;230
477;28;WB-H098;Swim-Ready Activity Band, B;HydroSync Elite;Black;90;160
